User name,Twitter handle
 Trevor Noah ,@Trevornoah
 Gareth Cliff ,@GarethCliff
Jacob G. Zuma,@SAPresident
 News24 ,@News24
 Julius Sello Malema ,@Julius_S_Malema
 Helen Zille ,@helenzille
 mailandguardian ,@mailandguardian
 5FM ,@5FM
 loyiso gola ,@loyisogola
 Computicket ,@Computicket
 MTV Base Africa ,@MTVbaseAfrica
 Cricket South Africa ,@OfficialCSA
 John Robbie ,@702JohnRobbie
 Ulrich J van Vuuren ,@UlrichJvV
 Euphonik™♛ ,@euphonik
 andrew harding ,@BBCAndrewH
 Camfed ,@Camfed
 Bob Skinstad ,@BobSkinstad
 Samsung South Africa ,@SamsungSA
 Live Amp ,@liveamp
 Ray Hartley ,@hartleyr
 David Smith ,@SmithInAfrica
 Gert-Johan Coetzee ,@gertjohan
 African Union ,@_AfricanUnion
 Sandton City ,@SandtonCity
 Parliament of RSA ,@ParliamentofRSA
 Mo Ibrahim Fdn ,@Mo_IbrahimFdn
 Disaster Operations ,@NDOCKenya
 Peter Greste ,@PeterGreste
 Jendayi E Frazer ,@JendayiFrazer
 Arthur Goldstuck ,@art2gee
 IEC South Africa ,@IECSouthAfrica
 Forbes Africa ,@forbesafrica
 Entrepreneur Mag SA ,@Entrepreneur_SA
 Geoffrey York ,@geoffreyyork
 The New Age ,@The_New_Age
 Henley Africa ,@HenleyAfrica
 IFC Africa ,@IFCAfrica
 AfricaProgressPanel ,@africaprogress
 Mbuyiseni Ndlozi ,@MbuyiseniNdlozi
 FoodBlog Cape Town ,@FoodBlogCT
 Africa Research Inst ,@AfricaResearch
 HowWeMadeItInAfrica ,@MadeItInAfrica
 CNBC Africa ,@cnbcafrica
 will ross ,@willintune
 Africa The Good News ,@AfricaGoodNews
 Think Africa Press ,@ThinkAfricaFeed
 City of Joburg ,@CityofJoburgZA
 theafricareport ,@theafricareport
 Afrinnovator ,@Afrinnovator
 James Schneider ,@schneiderhome
 The Star ,@TheStar_news
 Ranger Diaries ,@rangerdiaries
 Daniel Howden ,@daniel_howden
 Abdi Aynte ,@Aynte
 GautengGovt ,@GautengProvince
 TechCentral ,@TechCentral
 africa @pressfreedom ,@africamedia_CPJ
 Save the Rhino ,@savetherhino
 Mary Harper ,@mary_harper
 okayafrica ,@okayafrica
 Africa Gathering ,@africagathering
 Mercedes-Benz SA ,@MercedesBenz_SA
 George Ayittey ,@ayittey
 marais ,@cx73
 Rebecca Enonchong ,@africatechie
 drew hinshaw ,@drewfhinshaw
 Hamza Mohamed ,@Hamza_Africa
 ONE ,@ONEinAfrica
 Audi South Africa ,@audisouthafrica
 This Is Africa ,@thisisafrica
 Jax Panik ,@jaxpanik
 Karen Allen ,@BBCKarenAllen
 Vanessa Raphaely ,@hurricanevaness
 Kate Forbes ,@forbeesta
 Tristan McConnell ,@t_mcconnell
 Equal Education ,@equal_education
 Mike Stopforth ,@mikestopforth
 iamsuede™ ,@iamsuede
 Jamal Osman ,@JamalMOsman
 Kahn Morbee ,@KahnMorbee
 ARTsouthAFRICA ,@artsouthafrica
 Barry Malone ,@malonebarry
 Investing In Africa ,@InvestInAfrica
 The EIU Africa team ,@TheEIU_Africa
 Sarah Carter ,@sarzss
 This Is Africa ,@ThisIsAfricaTIA
 andBeyond ,@andBeyondSafari
 VISI Magazine ,@VISI_Mag
 City of Tshwane ,@CityTshwane
 Brendan Boyle ,@BrendanSAfrica
 MoadowAJE ,@Moadow
 DOS African Affairs ,@StateAfrica
 Patrick Ngowi ,@PatrickNgowi
 Online Africa ,@oafrica
 James Copnall ,@JamesCopnall
 Africa Check ,@AfricaCheck
 Scapegoat ,@andiMakinana
 Africa24 Media ,@a24media
 Jeffrey Gettleman ,@gettleman
